t,dsDNA488,dsDNA488647
0.000192,0.487756908,0.61014323
0.0001984,0.4804739,0.614042473
0.0002048,0.475448591,0.590841387
0.0002112,0.463829707,0.586633001
0.0002176,0.461565189,0.58968378
0.000224,0.45596846,0.570538931
0.0002304,0.449114747,0.573756713
0.0002368,0.441015931,0.568708151
0.0002432,0.437642155,0.546452478
0.0002496,0.434977107,0.57091766
0.000256,0.424859865,0.538084963
0.0002688,0.412297202,0.537903418
0.0002816,0.404969462,0.531336816
0.0002944,0.395014613,0.522812462
0.0003072,0.387743674,0.500542716
0.00032,0.378167489,0.498120075
0.0003328,0.37239113,0.499034371
0.0003456,0.35960183,0.480866991
0.0003584,0.354138242,0.477913475
0.0003712,0.346947511,0.466696116
0.000384,0.34067967,0.455039671
0.0003968,0.336620709,0.462857233
0.0004096,0.325459643,0.435599909
0.0004224,0.319703633,0.433722374
0.0004352,0.315399744,0.423153013
0.000448,0.311573968,0.434409308
0.0004608,0.301100008,0.43678879
0.0004736,0.29529361,0.404020987
0.0004864,0.293506772,0.39974677
0.0004992,0.288369512,0.398246243
0.000512,0.284932061,0.389510164
0.0005376,0.275081803,0.38193998
0.0005632,0.265984788,0.373831101
0.0005888,0.258455308,0.356606163
0.0006144,0.24997523,0.349935576
0.00064,0.24484809,0.349898203
0.0006656,0.237788146,0.340651263
0.0006912,0.231219684,0.334629924
0.0007168,0.229071798,0.326516197
0.0007424,0.220104649,0.31143259
0.000768,0.214726951,0.307002316
0.0007936,0.210524757,0.307239998
0.0008192,0.205505699,0.304033631
0.0008448,0.200490105,0.292053187
0.0008704,0.19501921,0.292264287
0.000896,0.193412273,0.284010296
0.0009216,0.18906744,0.276621657
0.0009472,0.186019912,0.272745871
0.0009728,0.179394703,0.272802633
0.0009984,0.176671419,0.266009295
0.001024,0.172227976,0.261505682
0.0010752,0.167235059,0.242778186
0.0011264,0.16215809,0.238934924
0.0011776,0.15680326,0.231774116
0.0012288,0.149602842,0.22314343
0.00128,0.145873592,0.220967854
0.0013312,0.142386322,0.211692455
0.0013824,0.137191206,0.204256123
0.0014336,0.132575357,0.204395293
0.0014848,0.129514758,0.196377264
0.001536,0.125073642,0.193161828
0.0015872,0.121499236,0.185286879
0.0016384,0.118633232,0.183778064
0.0016896,0.115828224,0.17306844
0.0017408,0.11248408,0.17700396
0.001792,0.107722102,0.170609834
0.0018432,0.104519432,0.161019036
0.0018944,0.10131246,0.153835868
0.0019456,0.100362998,0.15972226
0.0019968,0.099422358,0.147559489
0.002048,0.096744266,0.144319659
0.0021504,0.092308697,0.144611914
0.0022528,0.088254066,0.135852849
0.0023552,0.085674558,0.137223119
0.0024576,0.082518542,0.128723002
0.00256,0.080534781,0.120033521
0.0026624,0.077569653,0.123144815
0.0027648,0.074779393,0.112973416
0.0028672,0.072509489,0.114619679
0.0029696,0.070141977,0.110600657
0.003072,0.066006569,0.103639065
0.0031744,0.064781517,0.102420786
0.0032768,0.062737248,0.096914529
0.0033792,0.060611038,0.095468263
0.0034816,0.059020014,0.095537066
0.003584,0.057388398,0.089507908
0.0036864,0.056535922,0.091166056
0.0037888,0.054602685,0.086678237
