t,GTP_EEA1,GTP_EEA1_2uMRab5GTP_Cy1_45
0.0065536,0.170218997,0.170059934
0.0067584,0.166451775,0.168032294
0.0069632,0.166756925,0.164550532
0.007168,0.15783483,0.156189013
0.0073728,0.159944536,0.156486902
0.0075776,0.153770089,0.154890946
0.0077824,0.146879244,0.151038471
0.0079872,0.144249968,0.146017861
0.008192,0.141907169,0.143164245
0.0086016,0.13534667,0.13645629
0.0090112,0.129857651,0.128575833
0.0094208,0.127190404,0.125719603
0.0098304,0.120102109,0.116966166
0.01024,0.117906942,0.115241497
0.0106496,0.113884644,0.108703959
0.0110592,0.108096885,0.107969172
0.0114688,0.10512055,0.104867793
0.0118784,0.102961206,0.103682822
0.012288,0.09608108,0.098531953
0.0126976,0.094377619,0.095012853
0.0131072,0.092939352,0.09129828
0.0135168,0.089469189,0.08690746
0.0139264,0.083564623,0.083790187
0.014336,0.084065791,0.081567596
0.0147456,0.080462749,0.081143272
0.0151552,0.076244623,0.076221208
0.0155648,0.074222135,0.073979257
0.0159744,0.068656026,0.072641394
0.016384,0.0666229,0.069378272
0.0172032,0.063157239,0.070647315
0.0180224,0.057941193,0.065833254
0.0188416,0.056864348,0.062454141
0.0196608,0.055277278,0.05917696
0.02048,0.050584654,0.058125911
0.0212992,0.049769154,0.053239933
0.0221184,0.04572975,0.055470458
0.0229376,0.048793768,0.052261793
0.0237568,0.046686289,0.046988268
0.024576,0.047662297,0.044433826
0.0253952,0.044897174,0.042482935
0.0262144,0.042391649,0.04435306
0.0270336,0.041159716,0.04415159
0.0278528,0.041581137,0.043986877
0.028672,0.043094559,0.039793341
0.0294912,0.039590279,0.037273237
0.0303104,0.040749111,0.040136234
0.0311296,0.040006997,0.03490263
0.0319488,0.038131046,0.034213564
0.032768,0.037957879,0.034373206
0.0344064,0.034889365,0.032685938
0.0360448,0.032794706,0.030712266
0.0376832,0.033436538,0.030838391
0.0393216,0.030226852,0.031365673
0.04096,0.02889173,0.029595345
0.0425984,0.023824108,0.028632471
0.0442368,0.023092528,0.025307981
0.0458752,0.020603801,0.022878017
0.0475136,0.017785093,0.023567268
0.049152,0.016049277,0.024360783
0.0507904,0.020539632,0.025534029
0.0524288,0.019989798,0.022268311
0.0540672,0.018882414,0.020982754
0.0557056,0.01638427,0.019930162
0.057344,0.018494564,0.020169301
0.0589824,0.016875714,0.0196433
0.0606208,0.014145925,0.017112923
0.0622592,0.016155993,0.019805814
0.0638976,0.013293688,0.01652989
0.065536,0.01383332,0.015427905
0.0688128,0.011519528,0.013558748
0.0720896,0.008732791,0.011926559
0.0753664,0.010292808,0.009745714
0.0786432,0.011119202,0.012929864
0.08192,0.009873401,0.003568538
0.0851968,0.011400822,0.004384508
0.0884736,0.010518736,0.003505667
0.0917504,0.011257764,0.004649493
0.0950272,0.010297794,0.010654111
0.098304,0.017360601,0.01533871
0.1015808,0.006556578,0.014787485
0.1048576,0.004243181,0.012475455
0.1081344,0.004711466,0.010826743
0.1114112,0.004448781,0.009807497
0.114688,0.001837905,0.012803205
0.1179648,0.004194609,0.009275118
0.1212416,0.006507283,0.008202112
0.1245184,0.001525558,0.007156586
0.1277952,-0.001284922,0.003558456
0.131072,-2.55E-05,0.00360121
0.1376256,0.001499494,0.007850418
0.1441792,0.000298548,0.006941124
0.1507328,0.000358239,0.003068661
0.1572864,0.005278855,0.003096785
0.16384,0.006030796,0.003651021
0.1703936,0.005256962,0.003573208
0.1769472,0.003022816,0.000215899
0.1835008,0.005067499,-0.000637079
0.1900544,0.001095606,0.000490094
0.196608,-0.000577772,-0.003834698
0.2031616,0.001402489,-0.003567394
0.2097152,0.001447983,0.000588482
0.2162688,0.000238422,0.002622481
0.2228224,0.002227474,0.004465935
0.229376,0.008529055,0.005562787
0.2359296,0.005331039,0.005506846
0.2424832,0.005957262,0.002180465
0.2490368,0.004512022,-0.000330846
0.2555904,0.002808472,0.00187647
0.262144,0.00380458,0.003053866
0.2752512,-5.44E-05,0.001194663
0.2883584,-0.000817089,-0.000146935
0.3014656,-0.003664419,-0.002494731
0.3145728,-3.40E-05,-0.00544697
0.32768,0.004286236,0.000752428
0.3407872,0.000605093,-0.001405425
0.3538944,0.000373886,-0.004303976
0.3670016,0.003402866,-0.005358463
0.3801088,-0.000242758,-0.002145502
0.393216,-0.001644255,-0.001884766
0.4063232,-0.001534578,0.000157174
0.4194304,0.002605083,-0.000281279
0.4325376,-0.001918426,-0.002307824
0.4456448,-0.002449408,-0.001739258
0.458752,-0.001966161,-0.003329007
0.4718592,-0.002069678,-0.000637336
0.4849664,-0.002899984,-0.000608827
0.4980736,-0.000647062,-0.002994182
0.5111808,-0.009276365,-0.004842554
0.524288,-0.005373661,-0.003694963
0.5505024,-0.001843752,-0.002462182
0.5767168,-0.003977364,0.000245852
0.6029312,0.000635568,0.005016094
0.6291456,-0.004010991,0.003086446
0.65536,-0.000416186,0.005954106
0.6815744,0.00302344,0.004971145
0.7077888,0.00334446,0.004391905
0.7340032,-0.002633627,-0.000411289
0.7602176,-0.001644218,0.001694974
0.786432,-0.005826592,0.002572914
0.8126464,-0.001380762,0.000255068
0.8388608,0.001146146,0.006385732
0.8650752,-0.000795102,0.003373352
0.8912896,0.001220728,0.002364575
0.917504,0.000555271,0.000736993
0.9437184,-0.001232515,0.000338989
0.9699328,-0.001461248,-0.000681872
0.9961472,-0.002383274,-0.001604048
1.0223616,-0.0023985,-0.003119046
1.048576,-0.000823985,-0.002136262
1.1010048,0.001287884,-0.000250557
1.1534336,-0.004227455,7.04E-05
1.2058624,0.000961728,-0.002823434
1.2582912,-0.001188133,-0.001881055
1.31072,0.001807477,-0.001172707
1.3631488,-0.001343106,0.001085065
1.4155776,-0.010927287,-0.001598647
1.4680064,-0.004393224,-0.002526242
1.5204352,-0.001261088,0.000147414
1.572864,-0.001951891,0.000536467
1.6252928,-0.002367422,-0.002164608
1.6777216,-0.000685302,-0.002024766
1.7301504,-0.000918117,-0.000249348
1.7825792,0.000382078,-0.001975581
1.835008,0.000398894,0.001248983
1.8874368,9.84E-05,-0.001977382
1.9398656,0.002945104,-0.001408496
1.9922944,0.000614799,-0.00153917
2.0447232,9.21E-05,0.000645329
2.097152,0.001464563,0.003621314
2.2020096,0.001868165,0.002597082
2.3068672,-0.000193927,0.002891913
2.4117248,0.002799481,-0.001925745
2.5165824,0.001022544,-0.005828758
2.62144,-0.000838373,-0.002048507
