t,EEA1,EEA1_2uM_Rab5GDP
0.1114112,0.004404127,0.009093362
0.114688,0.006285632,0.006308698
0.1179648,0.00619837,0.007870768
0.1212416,0.007055343,0.003772025
0.1245184,0.008203549,0.003569711
0.1277952,0.005891338,0.003360868
0.131072,0.005722175,0.002981969
0.1376256,0.006869996,0.004977939
0.1441792,0.007730384,0.002983893
0.1507328,0.007578896,0.005507252
0.1572864,0.003187582,0.004735446
0.16384,0.001270992,0.006628191
0.1703936,0.003934409,0.003772326
0.1769472,0.008712533,0.00221578
0.1835008,0.008316951,0.002679863
0.1900544,0.005895199,0.003208487
0.196608,0.00643093,0.00375375
0.2031616,0.002735386,0.005857754
0.2097152,0.003868472,0.002331436
0.2162688,0.002072469,0.000672421
0.2228224,0.000822116,0.000326401
0.229376,0.003510708,0.002259911
0.2359296,0.004151221,0.005775678
0.2424832,0.001390984,0.006076108
0.2490368,0.000514906,0.005691453
0.2555904,0.000502705,0.005677047
0.262144,0.000534036,0.002099496
0.2752512,0.001600293,0.003610843
0.2883584,0.000144846,0.004191358
0.3014656,0.000142315,6.47E-05
0.3145728,0.005308872,-0.002668559
0.32768,0.000599964,0.001633906
0.3407872,-0.00017834,-0.000269704
0.3538944,-0.0004109,0.001130219
0.3670016,-0.002123112,0.00160208
0.3801088,-0.002036294,0.000956273
0.393216,-0.001285427,-0.00369464
0.4063232,-0.001809436,-0.005657096
0.4194304,-0.000156351,-0.002100804
0.4325376,0.001833032,-0.002744317
0.4456448,0.001650021,-0.003772625
0.458752,0.003505735,-0.004606989
0.4718592,0.002026248,-0.000990829
0.4849664,-0.00172398,0.000318821
0.4980736,0.002857684,-0.000792682
0.5111808,0.00230229,-0.000918123
0.524288,-0.000157793,0.002633292
0.5505024,-0.00021793,0.003573321
0.5767168,0.001042794,0.001158114
0.6029312,-0.001711923,-0.004535069
0.6291456,-8.35E-05,-0.004035862
0.65536,-0.000620347,0.002857253
0.6815744,0.000422684,0.006697242
0.7077888,-0.002331882,0.007691841
0.7340032,-0.000756319,0.000256165
0.7602176,-0.001663354,0.000973654
0.786432,-0.004389187,0.00104745
0.8126464,-0.000913949,0.005606313
0.8388608,-0.001377048,0.004449522
0.8650752,-0.003452598,-0.000920595
0.8912896,-0.001849007,-0.000231924
0.917504,0.003138481,-0.001094447
0.9437184,0.003778045,-0.000826073
0.9699328,0.003771884,-0.006515162
0.9961472,0.004747265,-0.004069763
1.0223616,0.003395684,0.000380609
1.048576,0.005811863,0.001803843
1.1010048,0.002679166,0.001183379
1.1534336,0.001577049,0.001466124
1.2058624,0.001507509,0.00419782
1.2582912,0.003186252,0.007197921
1.31072,0.000698256,-0.00037968
1.3631488,-0.001284104,0.000449773
1.4155776,-0.002773017,-0.00281189
1.4680064,-0.00108824,0.000791384
1.5204352,0.000168459,0.000569264
1.572864,0.000152246,-0.000300669
1.6252928,-0.002048692,-0.003558562
1.6777216,-0.001001395,-0.001926555
1.7301504,-0.001320848,0.000394034
1.7825792,0.000546814,-0.0041577
1.835008,-0.001058689,-0.001921095
1.8874368,-0.004342682,-0.000288194
1.9398656,-0.001096787,-0.001121542
1.9922944,-4.43E-05,-0.000396035
2.0447232,0.000642974,0.000735205
2.097152,0.001403044,-0.002095698
2.2020096,0.001482602,0.001534437
2.3068672,-0.003405912,-0.0022956
2.4117248,0.00056519,-0.002931277
2.5165824,0.000383463,-3.16E-05
2.62144,-0.0026535,-0.003818975
2.7262976,-0.001761553,-0.001526659
2.8311552,0.000714929,-0.003105794
2.9360128,-0.002083882,-0.000176726
3.0408704,-0.002083262,0.001483533
3.145728,-0.001280441,0.000499662
3.2505856,-0.001693233,0.002839908
3.3554432,-0.0009033,0.00131289
3.4603008,0.002149775,-0.000264238
3.5651584,0.002916579,-0.002733094
3.670016,-0.001814934,-4.48E-05
3.7748736,-0.001961586,-0.001863286
3.8797312,-0.001189474,-0.000741557
3.9845888,-0.001229245,0.002240382
4.0894464,-0.000392844,-0.001589969
4.194304,-0.000924749,0.000517985
4.4040192,-0.002795159,0.001123872
4.6137344,-0.001499645,0.001759895
4.8234496,-0.001538723,2.63E-05
5.0331648,-0.000784393,0.000751345
5.24288,0.002646964,0.002887495
5.4525952,0.001611317,-0.001135184
5.6623104,-0.000377049,-0.000397162
5.8720256,-0.00132182,-3.58E-05
6.0817408,-0.002252594,-0.000450996
6.291456,-0.002623609,-0.002308482
6.5011712,3.07E-05,-0.001431358
6.7108864,0.00112944,0.001395181
6.9206016,-0.003060557,0.002168876
7.1303168,-0.000908087,-0.004946801
7.340032,-0.002847185,-2.70E-05
7.5497472,0.000782397,0.000323382
7.7594624,-0.000782367,-0.000138312
7.9691776,-0.003602791,-0.001052655
8.1788928,-0.001840197,-0.000530773
8.388608,-0.001499468,-0.004077842
